amount,0,1,2,3,4,5,6,7,8,9
1.0,0.7297297297297297,0.5135135135135135,0.3888888888888889,0.05405405405405406,0.21621621621621623,0.32432432432432434,0.19444444444444445,0.05555555555555555,0.13513513513513514,0.02702702702702703
2.0,0.9189189189189189,0.7297297297297297,0.6111111111111112,0.1891891891891892,0.35135135135135137,0.43243243243243246,0.3611111111111111,0.2222222222222222,0.24324324324324326,0.10810810810810811
3.0,0.9459459459459458,0.9189189189189189,0.8333333333333334,0.4864864864864865,0.7027027027027027,0.6486486486486487,0.4444444444444444,0.5277777777777778,0.40540540540540543,0.2702702702702703
4.0,0.9999999999999999,1.0,0.9444444444444444,1.0,0.918918918918919,0.945945945945946,0.8888888888888888,0.9444444444444444,0.8108108108108109,0.6216216216216217
5.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
