amount,0,1,2,3,4,5,6
1.0,0.0,0.057692307692307696,0.058823529411764705,0.32075471698113206,0.25,0.38461538461538464,0.7735849056603774
2.0,0.12962962962962962,0.25,0.23529411764705882,0.4339622641509434,0.3846153846153846,0.5961538461538461,0.8867924528301887
3.0,0.40740740740740744,0.46153846153846156,0.5098039215686274,0.6037735849056604,0.5769230769230769,0.8461538461538461,0.9245283018867925
4.0,0.7592592592592593,0.7692307692307693,0.9411764705882353,0.9056603773584906,0.9807692307692307,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
