amount,0,1,2,3,4,5,6,7,8,9
1.0,0.0,0.0,0.08333333333333333,0.07692307692307693,0.3235294117647059,0.19444444444444445,0.2972972972972973,0.43243243243243246,0.5135135135135135,0.75
2.0,0.16216216216216217,0.21052631578947367,0.16666666666666666,0.2564102564102564,0.4411764705882353,0.4444444444444444,0.35135135135135137,0.6756756756756757,0.5945945945945945,0.8888888888888888
3.0,0.5675675675675675,0.3157894736842105,0.3611111111111111,0.5128205128205128,0.7352941176470589,0.5555555555555556,0.5675675675675675,0.7837837837837838,0.8648648648648648,0.9444444444444444
4.0,0.8648648648648649,0.631578947368421,0.7777777777777778,0.9743589743589743,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
