,Threshold,Tier
0,0.0350800364393545,0
1,0.15559448204060383,1
2,0.3008969937532535,2
3,0.4398978396668402,3
4,0.5809474232170745,4
5,0.7494238027069235,5
6,0.9691384695471114,6
7,1.271733146798543,7
8,1.8939068193649145,8
9,2.288183237896929,9
