,date,irad_amt,av_temp,prcp_amt,PET,amount,remaining
11643,2013-06-02,232.84299,14.494664,0.14591475,29.536672662710565,1.0,-29.390757912710566
11644,2013-06-02,232.84299,14.494664,0.14591475,29.536672662710565,1.0,-29.390757912710566
11645,2013-06-02,232.84299,14.494664,0.14591475,29.536672662710565,1.0,-29.390757912710566
11646,2013-06-02,232.84299,14.494664,0.14591475,29.536672662710565,1.0,-29.390757912710566
11647,2013-06-02,232.84299,14.494664,0.14591475,29.536672662710565,1.0,-29.390757912710566
13086,2017-06-08,184.69821,9.237291,4.141358,17.110893824499676,5.0,-12.969535824499676
13099,2017-06-21,271.0138,12.2639265,2.16e-05,30.444835526325484,1.0,-30.444813926325484
13103,2017-06-25,129.93161,11.036248,0.255343,13.558143681671526,2.0,-13.302800681671526
13106,2017-06-28,197.28001,11.125451,0.039297577,20.700345747882025,1.0,-20.661048170882026
13110,2017-07-02,244.48952,13.439412,0.34016207,29.335261510686102,1.0,-28.9950994406861
13114,2017-07-06,154.48592,11.475541,5.8108177,16.561941104130142,1.0,-10.75112340413014
13117,2017-07-09,207.06627,12.918646,1.6296325,24.14333153741815,1.0,-22.51369903741815
13118,2017-07-10,186.66962,12.287133,0.5640261,20.998064471625845,1.0,-20.434038371625846
13121,2017-07-13,213.7315,12.728163,1.3697728,24.655562664201593,1.0,-23.285789864201593
13122,2017-07-14,223.89365,12.445037,0.034088805,25.41536314624577,1.0,-25.38127434124577
13123,2017-07-14,223.89365,12.445037,0.034088805,25.41536314624577,1.0,-25.38127434124577
13125,2017-07-16,86.800865,13.299706,5.6005177,10.335959851937078,2.0,-4.735442151937078
13126,2017-07-16,86.800865,13.299706,5.6005177,10.335959851937078,2.0,-4.735442151937078
13141,2017-08-01,215.51569,18.051237,1.8843702,32.326283494329324,4.0,-30.441913294329325
13144,2017-08-04,190.88452,16.551773,3.407987,26.769259788222026,3.0,-23.361272788222028
13145,2017-08-05,92.17264,16.169842,7.679224,12.697034262902653,3.0,-5.017810262902653
13150,2017-08-10,152.68434,15.625492,3.807616,20.49186382870432,1.0,-16.684247828704322
13151,2017-08-10,152.68434,15.625492,3.807616,20.49186382870432,2.0,-16.684247828704322
13152,2017-08-11,98.214935,13.523377,4.2869315,11.838054841459494,2.0,-7.551123341459494
13153,2017-08-12,172.2236,13.752626,0.062374245,21.015387553185843,2.0,-20.95301330818584
13154,2017-08-13,149.84604,12.954283,0.19525327,17.506365230279282,1.0,-17.311111960279284
13155,2017-08-13,149.84604,12.954283,0.19525327,17.506365230279282,2.0,-17.311111960279284
13157,2017-08-15,144.26459,13.581454,2.6676197,17.443036458315074,4.0,-14.775416758315075
13158,2017-08-15,144.26459,13.581454,2.6676197,17.443036458315074,3.0,-14.775416758315075
13160,2017-08-17,177.189,14.53788,1.4894449,22.526662020562213,4.0,-21.037217120562214
13161,2017-08-17,177.189,14.53788,1.4894449,22.526662020562213,4.0,-21.037217120562214
13164,2017-08-20,160.2279,15.5762825,5.971123,21.452983698475727,4.0,-15.481860698475726
13170,2017-08-26,124.06851,13.017396,6.3395977,14.545754007027329,3.0,-8.206156307027328
13171,2017-08-27,126.446236,13.471005,0.9093205,15.197742434846305,4.0,-14.288421934846305
13173,2017-08-29,73.76851,14.098951,5.7314763,9.167758705316308,4.0,-3.436282405316308
13174,2017-08-29,73.76851,14.098951,5.7314763,9.167758705316308,4.0,-3.436282405316308
13175,2017-08-30,154.60051,12.839176,0.01466307,17.94602881038366,2.0,-17.931365740383658
13176,2017-09-01,145.58293,10.840752,1.014684,15.006136709808436,4.0,-13.991452709808435
13180,2017-09-05,108.97734,14.090418,7.386515,13.53736968459214,4.0,-6.150854684592139
13192,2017-09-17,46.78078,12.041892,18.721266,5.18761712933212,1.0,13.53364887066788
13193,2017-09-17,46.78078,12.041892,18.721266,5.18761712933212,3.0,13.53364887066788
13194,2017-09-17,46.78078,12.041892,18.721266,5.18761712933212,3.0,13.53364887066788
13195,2017-09-18,32.75066,10.927437,6.3979845,3.394287310374935,4.0,3.003697189625065
13196,2017-09-18,32.75066,10.927437,6.3979845,3.394287310374935,1.0,3.003697189625065
13200,2017-09-22,36.96417,11.053884,9.349217,3.86139053446304,2.0,5.487826465536959
13201,2017-09-23,114.90856,10.477145,0.30860627,11.57246515396408,3.0,-11.26385888396408
13202,2017-09-23,114.90856,10.477145,0.30860627,11.57246515396408,4.0,-11.26385888396408
13203,2017-09-23,114.90856,10.477145,0.30860627,11.57246515396408,4.0,-11.26385888396408
13206,2017-09-26,35.332,11.34089,15.11427,3.7568735390421666,3.0,11.357396460957833
13217,2017-10-07,80.87995,7.7696447,0.030386003,6.720511614092693,4.0,-6.690125611092693
13220,2017-10-10,65.36312,7.93384,0.591263,5.501015981134826,4.0,-4.909752981134826
13223,2017-10-13,37.840553,12.171539,15.68356,4.228139846571232,3.0,11.455420153428769
13224,2017-10-14,62.464874,11.847424,0.04823494,6.847815053257262,4.0,-6.799580113257262
13245,2017-11-05,32.773636,9.078094,0.15096933,3.002279596107392,5.0,-2.851310266107392
13302,2018-01-02,18.267817,2.8546324,0.7567101,0.9336737850434073,3.0,-0.1769636850434072
13325,2018-01-25,14.682416,8.980861,2.2592149,1.3357158852171787,4.0,0.9234990147828213
13326,2018-01-25,14.682416,8.980861,2.2592149,1.3357158852171787,4.0,0.9234990147828213
13343,2018-02-12,32.954636,0.8083036,1.3078351,1.2455136056447789,5.0,0.06232149435522105
13348,2018-02-17,43.178585,4.6416454,6.6807146,2.708957609602804,4.0,3.971756990397196
13349,2018-02-17,43.178585,4.6416454,6.6807146,2.708957609602804,4.0,3.971756990397196
13350,2018-02-17,43.178585,4.6416454,6.6807146,2.708957609602804,4.0,3.971756990397196
13351,2018-02-18,22.26799,7.5621614,1.7404189,1.8202374052159427,5.0,-0.07981850521594258
13352,2018-02-18,22.26799,7.5621614,1.7404189,1.8202374052159427,5.0,-0.07981850521594258
13374,2018-03-12,46.28717,9.224348,19.310732,4.284258290051796,1.0,15.026473709948206
13375,2018-03-12,46.28717,9.224348,19.310732,4.284258290051796,3.0,15.026473709948206
13376,2018-03-12,46.28717,9.224348,19.310732,4.284258290051796,2.0,15.026473709948206
13377,2018-03-12,46.28717,9.224348,19.310732,4.284258290051796,5.0,15.026473709948206
13396,2018-04-01,86.91451,5.555177,2.441539,5.969534337052773,4.0,-3.5279953370527726
