date,tag
13/08/2017,some
17/08/2017,substantial
05/09/2017,substantial
07/10/2017,substantial
18/02/2018,extensive
18/02/2018,extensive
01/04/2018,a lot
13/04/2018,extensive
23/04/2018,some
28/04/2018,a lot
25/05/2018,none
16/09/2019,some
21/09/2019,none
22/09/2019,some
26/09/2019,substantial
29/09/2019,substantial
30/09/2019,substantial
10/10/2019,extensive
17/10/2019,extensive
18/10/2019,extensive
23/10/2019,a lot
26/10/2019,substantial
26/10/2019,substantial
03/11/2019,substantial
15/11/2019,a lot
15/02/2020,extensive
11/07/2020,none
28/07/2020,a lot
13/08/2020,none
13/08/2020,none
15/08/2020,none
15/08/2020,none
15/08/2020,none
16/08/2020,none
16/08/2020,none
18/08/2020,none
27/08/2020,substantial
28/08/2020,substantial
02/09/2020,extensive
14/09/2020,a lot
15/09/2020,a lot
07/10/2020,a lot
08/10/2020,substantial
11/10/2020,substantial
20/10/2020,extensive
20/10/2020,extensive
22/10/2020,substantial
29/10/2020,extensive
30/10/2020,a lot
30/10/2020,a lot
30/10/2020,substantial
03/12/2020,substantial
